LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,180,70,1:00 AM,1,South Boston,C-6,WidescrnTV,Widescreen Television,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,0,0,1:00 AM,1,South Boston,C-6,Radio,Radio,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,0,0,1:00 AM,1,South Boston,C-6,CassetteCD,Cassette/CD Player,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,0,0,1:00 AM,2,South Boston,C-6,TV,"Television (under 27"")",70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132180,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Stephen Pole,NULL,Club Hotel by Double Tree,"Bayside Club Hotel, LLC",Stephen Pole,70,180,0,1:00 AM,1,South Boston,C-6,DVDVCR,DVD/VCR,70,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024000, -71.045007000)"
CAL-132181,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,amrik  pabla,NULL,Bukhara,"Manraj, Inc",amrik  pabla,60,0,60,11:00 PM,1,Jamaica Plain,E-13,CassetteCD,Cassette/CD Player,60,701,703, Centre St,Jamaica Plain,MA,2130,"(42.311590000, -71.114610000)"
CAL-132181,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,amrik  pabla,NULL,Bukhara,"Manraj, Inc",amrik  pabla,60,0,0,11:00 PM,1,Jamaica Plain,E-13,WidescrnTV,Widescreen Television,60,701,703, Centre St,Jamaica Plain,MA,2130,"(42.311590000, -71.114610000)"
CAL-132182,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Shane Sykes,NULL,Starbucks Coffee #22566,Starbucks Corporation,Shane Sykes,40,0,40,11:00pm,1,South Boston,C-6,Radio,Radio,40,28,70,  Northern AV,Boston,MA,2210,"(42.352802000, -71.044535000)"
CAL-132183,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,REMON KARIAN,NULL,Fiorella's Express,"Fiorella's Express, LLC",REMON KARIAN,16,0,16,1:00 AM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,16,2,20,  Tremont ST,Brighton,MA,2135,"(42.350490000, -71.168372000)"
CAL-132183,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,REMON KARIAN,NULL,Fiorella's Express,"Fiorella's Express, LLC",REMON KARIAN,16,0,0,1:00 AM,1,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,16,2,20,  Tremont ST,Brighton,MA,2135,"(42.350490000, -71.168372000)"
